fdi,point,state,x,y,z
18,0,predicted,10.971048355102539,4.0242462158203125,10.251413345336914
18,1,predicted,11.676197052001953,10.110844612121582,10.11286735534668
17,0,predicted,12.442737579345703,2.996119499206543,9.63690185546875
17,1,predicted,14.296117782592773,9.248164176940918,6.820472717285156
16,0,predicted,10.200817108154297,-3.7637686729431152,11.03897762298584
16,1,predicted,13.142820358276367,3.781430244445801,9.11226749420166
15,0,predicted,8.12322998046875,-9.097145080566406,11.888856887817383
15,1,predicted,10.4110107421875,-4.231230735778809,10.850116729736328
14,0,predicted,5.804773330688477,-15.329706192016602,12.163872718811035
14,1,predicted,7.595771789550781,-10.345722198486328,11.322583198547363
13,0,observed,16.398849487304688,-19.118799209594727,15.4010009765625
13,1,observed,19.088699340820312,-17.68345069885254,15.174699783325195
12,0,predicted,-1.7686595916748047,-23.32003402709961,12.638925552368164
12,1,predicted,-0.04802703857421875,-21.559078216552734,12.2653226852417
11,0,predicted,-6.5364670753479,-24.861186981201172,13.56895923614502
11,1,predicted,-3.2375826835632324,-24.403898239135742,12.857938766479492
21,0,observed,-1.025333046913147,-23.025550842285156,12.88259506225586
21,1,observed,-5.370169639587402,-22.139999389648438,12.41419506072998
22,0,observed,-9.306529998779297,-22.14284896850586,12.326799392700195
22,1,observed,-11.062429428100586,-20.894298553466797,12.182550430297852
23,0,observed,-13.554750442504883,-16.346450805664062,12.02485466003418
23,1,observed,-15.1656494140625,-13.711750030517578,11.682504653930664
24,0,observed,-18.680299758911133,-11.25730037689209,12.837400436401367
24,1,observed,-21.29400062561035,-6.96766996383667,10.527799606323242
25,0,predicted,-23.92346954345703,-8.432395935058594,12.279803276062012
25,1,predicted,-24.644699096679688,-3.5412817001342773,11.12678337097168
26,0,observed,-20.44890022277832,-0.7364259958267212,7.042029857635498
26,1,observed,-21.806499481201172,9.823780059814453,5.336619853973389
27,0,observed,-21.642799377441406,10.916799545288086,3.461590051651001
27,1,observed,-25.617799758911133,18.71269989013672,2.7186100482940674
28,0,predicted,-19.889644622802734,6.752907752990723,10.152243614196777
28,1,predicted,-21.17184829711914,12.251002311706543,7.412249565124512
